Vocabulary Word,Example Sentence (Swedish),Example Sentence (English)
flerårig,Fleråriga växter blommar varje år.,Perennial plants bloom every year.
att förråda,Att förråda sina vänner är aldrig rätt.,To betray your friends is never right.
en försändelse,Jag väntar på en försändelse från min vän.,I am waiting for a consignment from my friend.
en resväska,Jag packade en resväska för min semester.,I packed a suitcase for my vacation.
flyktig,"Känslorna var flyktiga, som moln på himlen.","The feelings were fleeting, like clouds in the sky."
en kirurg,En kirurg räddade livet på patienten.,A surgeon saved the patient's life.
otvivelaktigt,Otvivelaktigt är detta den bästa filmen jag har sett.,"Undoubtedly, this is the best movie I have seen."
en saft,Jag dricker en saft på sommaren.,I drink a juice in the summer.
en varaktighet,En varaktighet i vänskap är viktig.,A duration in friendship is important.
en lekplats,Barn leker på en lekplats.,Children are playing in a playground.
en tillförlitlighet,En tillförlitlighet är viktig i alla relationer.,A dependability is important in all relationships.
adjö,"Adjö, vi ses snart igen!","Goodbye, we will see each other again soon!"
en käpp,Hon går med en käpp i handen.,She walks with a cane in her hand.
att lossa,Vi måste lossa lasten från båten.,We need to unload the cargo from the boat.
en summering,En summering av boken är mycket viktig.,A summary of the book is very important.
exekutiv,Han arbetar som exekutiv i ett stort företag.,He works as an executive in a large company.
en kandidatur,Hon anmälde sin kandidatur till valet.,She submitted her candidacy for the election.
en tum,Boken är en tum tjock.,The book is an inch thick.
en återkoppling,Jag skulle uppskatta en återkoppling på mitt arbete.,I would appreciate feedback on my work.
att dofta,Rummet doftar av nybakta kanelbullar.,The room smells of freshly baked cinnamon buns.
en encyklopedi,Jag läser en encyklopedi för att lära mig nya saker.,I am reading an encyclopedia to learn new things.
en förrädare,Han är en förrädare som svek sina vänner.,He is a traitor who betrayed his friends.
en tvättmaskin,Jag behöver en tvättmaskin för mina kläder.,I need a washing machine for my clothes.
en kvist,Jag plockade en kvist från marken.,I picked up a twig from the ground.
en tvål,Jag behöver en tvål för att tvätta händerna.,I need a soap to wash my hands.
en madrass,Jag behöver en madrass för min säng.,I need a mattress for my bed.
en heder,En heder är viktig för alla.,Honour is important for everyone.
en knop,Båten seglar med en knop.,The boat sails at a knot.
en maträtt,Spaghetti är en maträtt som många älskar.,Spaghetti is a dish that many love.
en njure,En njure hjälper till att rena blodet.,A kidney helps to purify the blood.
att alstra,Vi måste alstra nya idéer för projektet.,We need to generate new ideas for the project.
beslutsam,Hon är alltid beslutsam när hon fattar beslut.,She is always determined when she makes decisions.
en kontur,En kontur av bergen syns i solnedgången.,The contour of the mountains is visible at sunset.
att värka,Min rygg börjar värka efter en lång dag.,My back starts to ache after a long day.
en droppe,En droppe regn föll på mitt ansikte.,A drop of rain fell on my face.
att inställa,Vi måste inställa mötet eftersom ingen kan komma.,We have to cancel the meeting because no one can come.
att programmera,Jag lär mig att programmera på kvällarna.,I am learning to program in the evenings.
en resebyrå,Vi bokade vår resa genom en resebyrå.,We booked our trip through a travel agency.
en gnista,En gnista kan tända en stor eld.,A spark can ignite a big fire.
en envishet,En envishet kan vara både bra och dålig.,Stubbornness can be both good and bad.
stilig,Han såg väldigt stilig ut i sin nya kostym.,He looked very handsome in his new suit.
vänskaplig,Vänskaplig kontakt är viktig för att bygga relationer.,Friendly contact is important for building relationships.
en kristall,Jag har en kristall på mitt skrivbord.,I have a crystal on my desk.
passionerad,Hon är en passionerad konstnär.,She is a passionate artist.
yr,Jag känner mig yr efter att ha snurrat runt.,I feel dizzy after spinning around.
en besiktning,Bilen måste gå på en besiktning varje år.,The car must go for an inspection every year.
en delgivning,En delgivning kom med posten idag.,A serving came in the mail today.
att gjuta,Vi ska gjuta en ny staty i brons.,We will cast a new statue in bronze.
att smörja,Jag måste smörja dörren så att den inte knarrar.,I need to grease the door so it doesn't creak.
att ådra,Han ådrog sig en förkylning efter att ha stått i regnet.,He contracted a cold after standing in the rain.
en åkomma,Hon har en åkomma som gör att hon alltid är trött.,She has a disease that makes her always tired.
en stång,Jag behöver en stång för att bygga en hängmatta.,I need a pole to build a hammock.
att konsultera,Jag behöver att konsultera min lärare innan provet.,I need to consult my teacher before the exam.
att återuppliva,Vi behöver att återuppliva vårt intresse för att läsa.,We need to revive our interest in reading.
en växtlighet,En växtlighet växer snabbt i den fuktiga jorden.,A vegetation grows quickly in the moist soil.
en frost,En frost täcker marken på morgonen.,A frost covers the ground in the morning.
en lykta,Jag tänder en lykta när det blir mörkt.,I light a lantern when it gets dark.
akustisk,Musik i ett akustiskt rum låter alltid bättre.,Music in an acoustic room always sounds better.
en antydning,Hon gav mig en antydning om att hon var missnöjd.,She gave me an insinuation that she was unhappy.
en häl,Jag trampade på min häl när jag snubblade.,I stepped on my heel when I tripped.
en hängivenhet,En hängivenhet till sporten gör att hon tränar varje dag.,A devotion to the sport makes her train every day.
en orätt,Det är en orätt att barnen inte får leka.,It is a wrong that the children cannot play.
en syntes,En syntes av våra idéer kan skapa något fantastiskt.,A synthesis of our ideas can create something fantastic.
ungdomlig,Hon har en ungdomlig energi.,She has a youthful energy.
en citron,En citron är sur men god.,A lemon is sour but good.
ett tillbakadragande,Ett tillbakadragande av trupperna var nödvändigt för att bevara fred.,A withdrawal of the troops was necessary to maintain peace.
en förfalskning,En förfalskning kan vara svår att upptäcka.,A forgery can be hard to detect.
en tass,Katten sträckte ut en tass för att leka.,The cat stretched out a paw to play.
en trasa,Jag behöver en trasa för att torka upp spilld mjölk.,I need a rag to wipe up spilled milk.
en orgel,Jag hörde en orgel spela i kyrkan.,I heard an organ playing in the church.
ett oberoende,Ett oberoende är viktigt för att vara lycklig.,Independence is important for being happy.
en geometri,Geometri är viktigt i matematik.,Geometry is important in mathematics.
ett omfång,Ett omfång av färger kan göra rummet mer livligt.,An extent of colors can make the room more lively.
oviss,Framtiden är oviss för många människor.,The future is uncertain for many people.
en uteslutning,En uteslutning från klubben är alltid tråkig.,An exclusion from the club is always sad.
att utsända,Lampan utsänder ett mjukt ljus.,The lamp emits a soft light.
en pensionering,Hon ser fram emot sin pensionering.,She is looking forward to her retirement.
att förstora,Det är lätt att förstora problemet i vårt sinne.,It's easy to magnify the problem in our minds.
försvinnande,Kostnaden för bilen är försvinnande liten.,The cost of the car is negligibly small.
ett paraply,Kan du ge mig ett paraply?,Can you give me an umbrella?
ett plakat,Jag såg ett plakat på väggen.,I saw a placard on the wall.
en veranda,Vi sitter på en veranda och dricker kaffe.,We are sitting on a veranda and drinking coffee.
ett kosttillskott,Ett kosttillskott kan hjälpa dig att må bättre.,A nutritional supplement can help you feel better.
en krock,Det var en krock på vägen.,There was a collision on the road.
ett skyltfönster,Det finns en ny klänning i ett skyltfönster.,There is a new dress in a shop window.
munter,Barnet är munter och skrattar hela dagen.,The child is merry and laughs all day.
shorts,Jag gillar att ha på mig shorts på sommaren.,I like to wear shorts in the summer.
ett vandrarhem,Vi ska bo på ett vandrarhem i helgen.,We will stay at a youth hostel this weekend.
en kvadrat,En kvadrat har fyra lika sidor.,A square has four equal sides.
ett raseri,Han kände ett raseri när han såg orättvisan.,He felt a rage when he saw the injustice.
en tangent,Jag tryckte på en tangent för att skriva mitt namn.,I pressed a key to write my name.
en interiör,En interiör kan förändra hela atmosfären i ett rum.,An interior can change the whole atmosphere of a room.
en bondgård,Det finns många djur på en bondgård.,There are many animals on a farm.
en brådska,Jag har en brådska att komma till jobbet.,I am in a hurry to get to work.
en svartsjuka,En svartsjuka kan förstöra en vänskap.,A jealousy can destroy a friendship.
en älskarinna,Han har en älskarinna som han träffar i hemlighet.,He has a mistress whom he meets in secret.
ett adjektiv,Ett adjektiv beskriver ett substantiv.,An adjective describes a noun.
en berömmelse,Hon fick en berömmelse för sina fantastiska målningar.,She gained fame for her fantastic paintings.
